Timestamp,CPU%,MemoryMB,GPU%,GPUMemoryMB
2025-10-27 15:38:08,91,18452,0,2425
2025-10-27 15:38:10,94,18802,0,2425
2025-10-27 15:38:13,95,19089,0,2425
2025-10-27 15:38:15,95,18380,20,2425
2025-10-27 15:38:17,97,18457,0,2425
2025-10-27 15:38:19,94,18695,0,2425
2025-10-27 15:38:22,96,19126,0,2425
2025-10-27 15:38:24,96,18600,0,2425
2025-10-27 15:38:26,93,18629,31,2425
2025-10-27 15:38:29,91,18679,0,2425
2025-10-27 15:38:31,93,18964,0,2425
2025-10-27 15:38:33,97,19261,0,2425
2025-10-27 15:38:35,100,18337,72,2425
2025-10-27 15:38:38,93,18733,0,2425
2025-10-27 15:38:40,91,19009,0,2425
2025-10-27 15:38:42,96,19289,0,2425
2025-10-27 15:38:44,95,18636,0,2425
2025-10-27 15:38:47,100,18720,0,2425
2025-10-27 15:38:49,91,19030,0,2425
2025-10-27 15:38:51,92,18609,0,2425
2025-10-27 15:38:54,93,18474,65,2425
2025-10-27 15:38:56,96,18601,0,2425
2025-10-27 15:38:58,97,18930,0,2425
2025-10-27 15:39:00,99,19270,0,2425
2025-10-27 15:39:03,95,18608,71,2425
2025-10-27 15:39:05,99,18646,0,2425
2025-10-27 15:39:07,96,18911,0,2425
2025-10-27 15:39:09,93,19128,0,2425
2025-10-27 15:39:12,100,18520,71,2425
2025-10-27 15:39:14,99,18565,0,2425
2025-10-27 15:39:16,92,18832,0,2425
2025-10-27 15:39:19,97,19050,0,2425
2025-10-27 15:39:21,92,18494,10,2425
2025-10-27 15:39:23,92,18424,51,2425
2025-10-27 15:39:25,94,18645,0,2425
2025-10-27 15:39:28,97,19048,0,2425
2025-10-27 15:39:30,96,18611,0,2425
2025-10-27 15:39:32,96,18618,71,2425
2025-10-27 15:39:34,91,18790,0,2425
2025-10-27 15:39:37,100,19007,0,2425
2025-10-27 15:39:39,97,19311,0,2425
2025-10-27 15:39:41,93,18566,70,2425
2025-10-27 15:39:44,99,18644,0,2425
2025-10-27 15:39:46,98,18983,0,2425
2025-10-27 15:39:48,97,19227,0,2425
2025-10-27 15:39:50,92,18527,20,2425
2025-10-27 15:39:53,98,18601,0,2425
2025-10-27 15:39:55,100,18870,0,2425
2025-10-27 15:39:57,98,19030,0,2425
2025-10-27 15:39:59,96,18502,0,2425
2025-10-27 15:40:02,95,18466,19,2425
2025-10-27 15:40:04,97,18753,0,2425
2025-10-27 15:40:06,92,19133,0,2425
2025-10-27 15:40:09,93,18597,3,2425
2025-10-27 15:40:11,91,18443,61,2425
2025-10-27 15:40:13,95,18634,0,2425
2025-10-27 15:40:15,100,18982,0,2425
2025-10-27 15:40:18,93,19103,0,2425
2025-10-27 15:40:20,94,18503,71,2425
2025-10-27 15:40:22,93,18519,0,2425
2025-10-27 15:40:24,94,18815,0,2425
