Timestamp_sec,CPU%,MemMB,Mem%,GPU%,GPU_MemMB,GPU_Mem%
271.8,104.4,2209.3,7.0,0.0,79.0,1.9
274.1,95.7,2255.8,7.1,0.0,79.0,1.9
276.4,99.8,2255.8,7.1,11.0,79.0,1.9
278.5,99.9,2255.8,7.1,0.0,79.0,1.9
280.7,98.7,2255.8,7.1,0.0,79.0,1.9
283.0,149.7,2209.3,7.0,11.0,79.0,1.9
285.2,89.8,2209.3,7.0,0.0,79.0,1.9
287.3,106.9,2229.8,7.0,0.0,79.0,1.9
289.6,209.7,2255.8,7.1,0.0,79.0,1.9
291.7,109.9,2255.8,7.1,4.0,79.0,1.9
293.9,95.2,2255.8,7.1,0.0,79.0,1.9
296.2,99.9,2209.3,7.0,0.0,79.0,1.9
298.3,99.9,2209.3,7.0,6.0,79.0,1.9
300.4,109.9,2209.3,7.0,0.0,79.0,1.9
302.6,104.6,2247.8,7.1,0.0,79.0,1.9
304.8,89.8,2255.8,7.1,8.0,79.0,1.9
307.0,99.8,2255.8,7.1,0.0,79.0,1.9
309.2,106.9,2255.8,7.1,0.0,79.0,1.9
311.5,209.8,2209.3,7.0,2.0,79.0,1.9
313.6,99.8,2209.3,7.0,0.0,79.0,1.9
315.8,104.5,2219.8,7.0,0.0,79.0,1.9
318.0,189.7,2255.8,7.1,0.0,79.0,1.9
320.2,109.9,2209.3,7.0,2.0,79.0,1.9
322.4,114.1,2224.1,7.0,0.0,79.0,1.9
324.7,102.9,2685.6,8.5,0.0,79.0,1.9
327.3,99.9,2345.3,7.4,1.0,223.0,5.4
329.5,89.8,2345.3,7.4,0.0,223.0,5.4
331.6,116.2,2374.0,7.5,0.0,223.0,5.4
334.0,110.5,2392.0,7.5,0.0,223.0,5.4
337.0,96.3,2392.0,7.5,0.0,223.0,5.4
340.1,113.5,2392.0,7.5,0.0,223.0,5.4
342.8,117.7,2392.0,7.5,0.0,223.0,5.4
345.3,96.6,2392.0,7.5,0.0,223.0,5.4
347.7,99.3,2474.5,7.8,0.0,223.0,5.4
350.0,104.4,2474.5,7.8,0.0,223.0,5.4
352.2,111.3,2474.5,7.8,0.0,223.0,5.4
354.6,117.8,2475.7,7.8,0.0,223.0,5.4
356.8,107.4,2477.0,7.8,0.0,223.0,5.4
359.1,99.7,2479.9,7.8,0.0,223.0,5.4
361.4,104.0,2482.9,7.8,0.0,223.0,5.4
363.7,103.6,2485.3,7.8,0.0,223.0,5.4
366.0,107.8,2488.1,7.8,0.0,223.0,5.4
